//X,Y,Z,intensity,ping_no
-252.80287170,113.36540985,-7.56651402,-510.000000,21.000000
-252.77725220,113.42839050,-7.57860851,-510.000000,21.000000
-252.75119019,113.49245453,-7.58967495,-510.000000,21.000000
-252.72528076,113.55615234,-7.60035229,-510.000000,21.000000
-252.70141602,113.61475372,-7.59280682,-510.000000,21.000000
-252.67779541,113.67269897,-7.58498955,-510.000000,21.000000
-252.65386963,113.73143768,-7.57620621,-510.000000,21.000000
-252.62727356,113.79682159,-7.58378506,-510.000000,21.000000
-252.60592651,113.84909058,-7.55676174,-510.000000,21.000000
-252.58163452,113.90871429,-7.54571438,-510.000000,21.000000
-252.55732727,113.96836853,-7.53402138,-510.000000,21.000000
